Action	User	Name	Condition	Exceptions
Allow	Everyone	(Default Rule) All files located in the Program Files folder	Path	
Allow	Everyone	(Default Rule) All files located in the Windows folder	Path	
Allow	BUILTIN\Administrators	(Default Rule) All files	Path	
Allow	Everyone	C:: MICROSOFT® WINDOWS® OPERATING SYSTEM signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT (R) WINDOWS (R) OPERATING SYSTEM signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: HTML HELP signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSEXEC signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: %WINDIR%\*	Path	
Allow	Everyone	C:: MICROSOFT® .NET FRAMEWORK signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT® VISUAL STUDIO® 2008 signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT® VISUAL STUDIO® 2005 signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: INTERNET EXPLORER signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: WINDOWS® SEARCH signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT® DRM signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT ® WINDOWS SCRIPT HOST signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT(R) CONNECTION MANAGER signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: WINDOWS INSTALLER - UNICODE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: THE CURL EXECUTABLE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT® JSCRIPT signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT EDGE WEB PLATFORM signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: WINDOWS DRIVE OPTIMIZER signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT WINDOWS PERFORMANCE RECORDER signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
