Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	(Règle par défaut) Tous les fichiers se trouvant dans le dossier Program Files	Chemin d’accès	
Autoriser	Tout le monde	(Règle par défaut) Tous les fichiers se trouvant dans le dossier Windows	Chemin d’accès	
Autoriser	BUILTIN\Administrateurs	(Règle par défaut) Tous les fichiers	Chemin d’accès	
Autoriser	Tout le monde	C:: MICROSOFT® WINDOWS® OPERATING SYSTEM signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: HTML HELP signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_WCF-M_SM_CFG_INS_EXE_31BF3856AD364E35_10.0.10240.16384_NONE_AC03323AFF75C3D9\*	Chemin d’accès	
Autoriser	Tout le monde	C:: MICROSOFT® .NET FRAMEWORK signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-WMI-SNMP-PROVIDER_31BF3856AD364E35_10.0.10240.16384_NONE_569D54B4A90F97E4\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-SNMP-EVNTWIN_31BF3856AD364E35_10.0.10240.16384_NONE_62B29A3BE7CC01E4\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-SNMP-EVNTCMD_31BF3856AD364E35_10.0.10240.16384_NONE_64E69DCBE654FC02\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-LDIFDE_31BF3856AD364E35_10.0.10240.16384_NONE_CCC916EEEB225528\*	Chemin d’accès	
Autoriser	Tout le monde	C:: WINDOWS INSTALLER - UNICODE signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: MICROSOFT IME 2012 signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: INTERNET EXPLORER signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-D..OMMANDLINE-REPADMIN_31BF3856AD364E35_10.0.10240.16384_NONE_ACA5FD1B356B4ABF\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-D..OMMANDLINE-DSDBUTIL_31BF3856AD364E35_10.0.10240.16384_NONE_EB7B064EB1C34544\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-D..DIRECTPLAY8-PAYLOAD_31BF3856AD364E35_10.0.10240.16384_NONE_AF61BE92A6353DCE\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-D..DIRECTPLAY4-PAYLOAD_31BF3856AD364E35_10.0.10240.16384_NONE_0C4F0D9B6A7879B2\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\X86_MICROSOFT-WINDOWS-D..-COMMANDLINE-DSMGMT_31BF3856AD364E35_10.0.10240.16384_NONE_F6B84401E1416EE1\*	Chemin d’accès	
