Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	(R¨¨gle par d¨¦faut) Tous les fichiers se trouvant dans le dossier Program Files	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	(R¨¨gle par d¨¦faut) Tous les fichiers se trouvant dans le dossier Windows	Chemin d¡¯acc¨¨s	
Autoriser	BUILTIN\Administrateurs	(R¨¨gle par d¨¦faut) Tous les fichiers	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\XAMPP\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: APACHE COMMONS DAEMON SERVICE RUNNER sign¨¦ par O=THE APACHE SOFTWARE FOUNDATION, L=WILMINGTON, S=DELAWARE, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: APACHE COMMONS DAEMON SERVICE MANAGER sign¨¦ par O=THE APACHE SOFTWARE FOUNDATION, L=WILMINGTON, S=DELAWARE, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: PEGASUS MAIL SYSTEM sign¨¦ par O=DAVID HARRIS, L=DUNEDIN, S=OTAGO, C=NZ	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT? WINDOWS? OPERATING SYSTEM sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: HTML HELP sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: PYTHON sign¨¦ par O=PYTHON SOFTWARE FOUNDATION, L=BEAVERTON, S=OREGON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: %WINDIR%\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: MICROSOFT? .NET FRAMEWORK sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: INTERNET EXPLORER sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: WINDOWS? SEARCH sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT? DRM sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT (R) WINDOWS (R) OPERATING SYSTEM sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
